Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
8.60791,10,0,0,0,0.00557566,-0.00130567,0.000108819,-3.19122e-06,10,0,0,0,0.00462474,-0.00109915,9.49637e-05,-2.87778e-06,1,0,0,0,9.64377e-22,-2.7344e-22,2.5923e-23,-8.332e-25,0,0,0,0,0,0,0,0
5.29761,12,0.151818,-0.054375,-0.000562978,0.00548792,-0.00203575,0.000319589,-1.7823e-05,12,0.358547,0.0100597,0.00319981,-0.00549588,0.00195457,-0.000277839,1.41515e-05,1,-6.78837e-20,-7.35095e-21,1.17119e-21,-1.18729e-20,5.69755e-21,-9.1604e-22,4.97584e-23,0,0,0,0,0,0,0,0
3.75836,12,0.0181401,0.0481509,0.00337872,0.00777846,-0.00395029,0.000684488,-4.21568e-05,14,0.397407,-0.00104957,-0.000761285,-0.0163217,0.00770011,-0.00139053,9.09137e-05,1,1.42772e-19,9.16027e-21,-4.76494e-21,6.18077e-20,-4.15909e-20,9.39303e-21,-7.19063e-22,0,0,0,0,0,0,0,0
5.74147,13,0.482173,0.0330666,-0.00530693,-0.00638661,0.00218209,-0.000290592,1.40096e-05,15,0.110282,-0.0350711,6.82281e-06,0.000996537,-0.000120295,6.3812e-06,-1.91216e-07,1,-2.90688e-19,-5.28811e-20,6.04243e-21,-4.95593e-20,2.17043e-20,-3.18691e-21,1.58506e-22,0,0,0,0,0,0,0,0
5.74147,15,-0.00721674,-0.0926814,0.000186885,0.00557683,-0.0018924,0.000267489,-1.34873e-05,15,3.87328e-06,0.013432,0.000120701,0.0030681,-0.00163556,0.00025221,-1.27867e-05,1,8.52407e-19,9.75501e-20,-1.83794e-20,1.14877e-19,-5.06843e-20,7.48987e-21,-3.73944e-22,0,0,0,0,0,0,0,0
3.75836,13,-0.481672,0.0248538,0.00400569,0.0114704,-0.00515439,0.00081989,-4.60298e-05,15,-0.162539,-0.0375093,-0.000199276,0.0163169,-0.0105046,0.00239457,-0.000186529,1,-1.80298e-18,-1.16317e-19,5.95593e-20,-7.84351e-19,5.27614e-19,-1.19125e-19,9.11802e-21,0,0,0,0,0,0,0,0
5.23835,12,-0.0506414,0.0347454,-0.00254433,-0.00171002,0.000455116,-5.30861e-05,2.46602e-06,14,-0.373652,-0.00433696,0.00115059,0.000252722,-0.000194736,3.30422e-05,-1.79208e-06,1,3.7052e-18,6.87533e-19,-7.21129e-20,9.11159e-19,-4.37661e-19,7.05578e-20,-3.85878e-21,0,0,0,0,0,0,0,0
8.27602,12,-0.0655083,-0.0279104,-0.00111468,0.0046376,-0.00135477,0.000140603,-4.98247e-06,12,-0.389433,0.000194431,0.000772592,0.00081822,-0.000136676,8.80078e-06,-2.21191e-07,1,-1.21271e-17,-1.79305e-18,1.44718e-19,-6.3791e-19,1.97082e-19,-2.03237e-20,7.03672e-22,0,0,0,0,0,0,0,0
2.68572,10,-0.472436,0.00248583,0.000406654,0.110298,-0.0941871,0.0283549,-0.00295233,10,-0.0255019,0.0198447,-0.00229782,0.000632314,-0.00175461,0.000712321,-8.45121e-05,1,2.47365e-17,-1.42758e-18,-1.00047e-18,2.11195e-17,-2.01036e-17,6.41733e-18,-6.9252e-19,0,0,0,0,0,0,0,0
2.68572,9,-0.388376,-0.00131422,0.00132992,0.0475577,-0.0440779,0.0138944,-0.00149098,10,-0.000881681,-0.0032892,2.34045e-05,-0.00192524,0.00271646,-0.000972314,0.00011025,1,-3.21989e-17,-4.37717e-18,2.08912e-18,-4.10074e-17,3.88563e-17,-1.23483e-17,1.32763e-18,0,0,0,0,0,0,0,0
2.89205,8,-0.415652,-0.00281939,0.00113458,0.0206004,-0.0130748,0.00323101,-0.000288474,10,0.0138721,0.00451498,-0.000673488,0.00709626,-0.0076634,0.00242027,-0.000250395,1,6.54212e-17,1.1521e-17,-4.46323e-18,6.81305e-17,-4.4179e-18,3.78868e-18,-2.53433e-20,0,0,0,0,0,0,0,0
5.58716,7,-0.242983,0.0429659,0.00265557,-0.000316882,2.60869e-05,-1.88738e-05,1.73025e-06,10,-0.0584035,-0.0230654,-0.00174752,-0.0255911,0.0107908,-0.00157669,7.94302e-05,1,-1.33461e-16,-1.69863e-17,1.29469e-17,6.22207e-18,-3.30122e-18,2.89617e-19,-9.88826e-21,0,0,0,0,0,0,0,0
2.89598,7,0.143739,-0.00442639,-0.00310673,-0.0710305,0.0543417,-0.0149729,0.00143752,8,-0.348961,0.0101264,0.00406526,-0.177426,0.152916,-0.044956,0.00449424,1,6.16805e-17,-1.62628e-17,-1.41862e-18,-3.72941e-17,3.91076e-17,-8.93068e-18,1.23231e-18,0,0,0,0,0,0,0,0
4.07909,7,-0.113151,-0.0554676,-0.00275364,-0.00906846,0.00726759,-0.00155658,0.000108839,7,-0.0326057,0.0507751,-0.00030137,0.0481941,-0.0280676,0.00563993,-0.000389436,1,-2.74964e-17,2.96834e-18,1.5472e-18,-3.24718e-18,2.08873e-18,1.2851e-18,3.25355e-20,0,0,0,0,0,0,0,0
2.77949,6,-0.142388,0.0550914,0.00020769,-0.0120317,0.0114515,-0.00382526,0.000427509,8,0.255175,-0.00558162,-0.00187225,0.216322,-0.187379,0.0563759,-0.00581063,1,1.23848e-17,-2.10595e-18,-5.00695e-19,5.71952e-18,-5.30877e-18,1.64919e-18,-1.72532e-19,0,0,0,0,0,0,0,0
4.02373,6,0.124987,0.022806,0.00136933,-0.00189189,0.00152194,-0.000363261,2.75809e-05,9,0.202364,-0.00134,0.000330458,0.0420116,-0.0256219,0.00535283,-0.000381777,1,-8.33512e-18,5.70904e-19,1.31318e-18,-1.7175e-19,3.3245e-19,-1.1745e-19,1.12919e-20,0,0,0,0,0,0,0,0
9.15037,7,0.397255,0.0296144,-0.00293,0.00235114,-0.000815299,8.67552e-05,-2.97443e-06,10,0.107094,-0.017011,-0.000116422,-0.000713062,0.000235015,-2.3095e-05,7.47137e-07,1,-1.68449e-17,-1.18027e-17,1.63106e-18,1.73472e-18,0,2.71051e-20,-8.47033e-22,0,0,0,0,0,0,0,0
